# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  54 0.535 2 0.168167
  55 0.545 2 0.168167
  56 0.555 2 0.168167
  57 0.565 2 0.168167
  58 0.575 3 1.17014
  59 0.585 0 0
  60 0.595 2 1.08606
  61 0.605 4 2.17211
  62 0.615 0 0
  63 0.625 3 2.08803
  64 0.635 2 1.08606
  65 0.645 3 1.17014
  66 0.655 3 0.252251
  67 0.665 0 0
  68 0.675 0 0
  69 0.685 3 1.17014
  70 0.695 0 0
  71 0.705 3 0.252251
  72 0.715 4 3.09
  73 0.725 0 0
  74 0.735 1 1.00197
  75 0.745 2 1.08606
  76 0.755 0 0
  77 0.765 3 0.252251
  78 0.775 2 0.168167
  79 0.785 2 0.168167
  80 0.795 3 1.17014
  81 0.805 2 0.168167
  82 0.815 1 1.00197
  83 0.825 0 0
  84 0.835 0 0
  85 0.845 3 0.252251
  86 0.855 1 1.00197
  87 0.865 1 0.0840836
  88 0.875 0 0
  89 0.885 3 0.252251
  90 0.895 0 0
  91 0.905 1 1.00197
  92 0.915 2 0.168167
  93 0.925 2 2.00394
  94 0.935 3 3.00592
  95 0.945 1 0.0840836
  96 0.955 0 0
  97 0.965 4 0.336334
  98 0.975 2 1.08606
  99 0.985 2 0.168167
  100 0.995 1 1.00197
6000 100 186
  1 0.005 1 0.0871126
  2 0.015 2 0.174225
  3 0.025 1 1.03807
  4 0.035 3 0.261338
  5 0.045 2 0.174225
  6 0.055 2 0.174225
  7 0.065 1 0.0871126
  8 0.075 0 0
  9 0.085 0 0
  10 0.095 1 1.03807
  11 0.105 3 0.261338
  12 0.115 0 0
  13 0.125 4 2.25036
  14 0.135 2 0.174225
  15 0.145 2 1.12518
  16 0.155 0 0
  17 0.165 2 0.174225
  18 0.175 2 0.174225
  19 0.185 3 1.21229
  20 0.195 2 1.12518
  21 0.205 2 1.12518
  22 0.215 1 0.0871126
  23 0.225 2 1.12518
  24 0.235 2 0.174225
  25 0.245 1 0.0871126
  26 0.255 1 0.0871126
  27 0.265 1 1.03807
  28 0.275 6 4.3265
  29 0.285 3 0.261338
  30 0.295 2 1.12518
  31 0.305 3 2.16325
  32 0.315 3 1.21229
  33 0.325 2 1.12518
  34 0.335 3 2.16325
  35 0.345 5 1.38652
  36 0.355 3 0.261338
  37 0.365 1 1.03807
  38 0.375 1 0.0871126
  39 0.385 3 1.21229
  40 0.395 2 2.07614
  41 0.405 3 0.261338
  42 0.415 3 1.21229
  43 0.425 0 0
  44 0.435 1 1.03807
  45 0.445 1 0.0871126
  46 0.455 2 0.174225
  47 0.465 2 1.12518
  48 0.475 1 0.0871126
  49 0.485 1 0.0871126
  50 0.495 2 0.174225
  51 0.505 0 0
  52 0.515 4 1.29941
  53 0.525 0 0
  54 0.535 1 0.0871126
  55 0.545 2 0.174225
  56 0.555 1 0.0871126
  57 0.565 2 1.12518
