# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  82 0.815 2 1.16518
  83 0.825 6 1.52602
  84 0.835 2 2.14995
  85 0.845 1 0.0902097
  86 0.855 0 0
  87 0.865 1 0.0902097
  88 0.875 2 2.14995
  89 0.885 1 0.0902097
  90 0.895 2 0.180419
  91 0.905 2 2.14995
  92 0.915 2 1.16518
  93 0.925 1 1.07497
  94 0.935 0 0
  95 0.945 0 0
  96 0.955 2 1.16518
  97 0.965 2 0.180419
  98 0.975 1 0.0902097
  99 0.985 2 0.180419
  100 0.995 2 0.180419
800 100 186
  1 0.005 3 0.268494
  2 0.015 1 0.0894981
  3 0.025 1 0.0894981
  4 0.035 2 0.178996
  5 0.045 1 0.0894981
  6 0.055 1 1.06649
  7 0.065 3 0.268494
  8 0.075 0 0
  9 0.085 1 0.0894981
  10 0.095 2 1.15599
  11 0.105 0 0
  12 0.115 2 1.15599
  13 0.125 3 1.24549
  14 0.135 3 1.24549
  15 0.145 1 0.0894981
  16 0.155 2 2.13299
  17 0.165 4 1.33499
  18 0.175 3 1.24549
  19 0.185 0 0
  20 0.195 2 2.13299
  21 0.205 1 0.0894981
  22 0.215 2 0.178996
  23 0.225 3 0.268494
  24 0.235 4 3.28898
  25 0.245 0 0
  26 0.255 3 2.22249
  27 0.265 1 0.0894981
  28 0.275 1 0.0894981
  29 0.285 2 1.15599
  30 0.295 4 1.33499
  31 0.305 2 1.15599
  32 0.315 1 0.0894981
  33 0.325 1 0.0894981
  34 0.335 4 0.357993
  35 0.345 1 0.0894981
  36 0.355 4 1.33499
  37 0.365 3 0.268494
  38 0.375 2 1.15599
  39 0.385 1 0.0894981
  40 0.395 2 1.15599
  41 0.405 1 1.06649
  42 0.415 0 0
  43 0.425 2 0.178996
  44 0.435 3 1.24549
  45 0.445 3 2.22249
  46 0.455 2 0.178996
  47 0.465 2 1.15599
  48 0.475 5 3.37848
  49 0.485 1 1.06649
  50 0.495 4 1.33499
  51 0.505 1 1.06649
  52 0.515 3 0.268494
  53 0.525 2 1.15599
  54 0.535 0 0
  55 0.545 2 1.15599
  56 0.555 5 1.42449
  57 0.565 1 0.0894981
  58 0.575 3 1.24549
  59 0.585 3 1.24549
  60 0.595 0 0
  61 0.605 3 0.268494
  62 0.615 2 1.15599
  63 0.625 0 0
  64 0.635 1 1.06649
  65 0.645 2 1.15599
  66 0.655 5 3.37848
  67 0.665 3 0.268494
  68 0.675 0 0
  69 0.685 1 0.0894981
  70 0.695 1 0.0894981
  71 0.705 1 0.0894981
  72 0.715 0 0
  73 0.725 3 2.22249
  74 0.735 2 1.15599
  75 0.745 2 0.178996
  76 0.755 2 0.178996
  77 0.765 3 0.268494
  78 0.775 2 0.178996
  79 0.785 1 0.0894981
  80 0.795 0 0
  81 0.805 2 1.15599
  82 0.815 2 0.178996
  83 0.825 2 1.15599
  84 0.835 2 1.15599
  85 0.845 2 2.13299
  86 0.855 2 1.15599
  87 0.865 1 0.0894981
  88 0.875 1 1.06649
  89 0.885 0 0
  90 0.895 3 1.24549
  91 0.905 4 2.31198
  92 0.915 2 1.15599
  93 0.925 1 0.0894981
  94 0.935 0 0
  95 0.945 2 1.15599
  96 0.955 1 1.06649
  97 0.965 0 0
  98 0.975 2 0.178996
  99 0.985 2 0.178996
  100 0.995 1 0.0894981
900 100 186
  1 0.005 2 0.178446
  2 0.015 2 0.178446
  3 0.025 2 1.15244
  4 0.035 0 0
  5 0.045 3 0.267669
  6 0.055 1 0.0892231
  7 0.065 2 1.15244
  8 0.075 2 1.15244
  9 0.085 3 0.267669
  10 0.095 3 1.24166
  11 0.105 2 1.15244
  12 0.115 1 0.0892231
  13 0.125 1 1.06322
  14 0.135 0 0
  15 0.145 1 1.06322
  16 0.155 2 0.178446
  17 0.165 3 1.24166
  18 0.175 1 1.06322
  19 0.185 1 0.0892231
  20 0.195 2 2.12643
  21 0.205 4 0.356892
  22 0.215 0 0
  23 0.225 3 2.21566
  24 0.235 3 0.267669
  25 0.245 1 1.06322
  26 0.255 2 2.12643
  27 0.265 2 0.178446
  28 0.275 1 0.0892231
  29 0.285 2 0.178446
  30 0.295 4 2.30488
  31 0.305 2 1.15244
  32 0.315 0 0
  33 0.325 3 0.267669
  34 0.335 1 0.0892231
  35 0.345 2 0.178446
  36 0.355 0 0
  37 0.365 5 1.42011
  38 0.375 2 1.15244
  39 0.385 1 1.06322
  40 0.395 0 0
  41 0.405 2 1.15244
  42 0.415 3 1.24166
  43 0.425 6 1.50933
  44 0.435 2 0.178446
  45 0.445 1 0.0892231
  46 0.455 0 0
  47 0.465 2 1.15244
  48 0.475 3 2.21566
  49 0.485 1 1.06322
  50 0.495 2 1.15244
  51 0.505 3 2.21566
  52 0.515 5 2.3941
  53 0.525 2 0.178446
  54 0.535 1 0.0892231
  55 0.545 2 0.178446
  56 0.555 4 2.30488
  57 0.565 4 0.356892
  58 0.575 3 2.21566
  59 0.585 1 0.0892231
  60 0.595 3 1.24166
  61 0.605 2 0.178446
  62 0.615 0 0
  63 0.625 2 1.15244
  64 0.635 1 1.06322
  65 0.645 1 1.06322
  66 0.655 2 1.15244
  67 0.665 3 1.24166
  68 0.675 1 0.0892231
  69 0.685 1 0.0892231
  70 0.695 3 0.267669
  71 0.705 0 0
  72 0.715 0 0
  73 0.725 3 1.24166
  74 0.735 0 0
  75 0.745 3 1.24166
  76 0.755 0 0
  77 0.765 4 1.33089
  78 0.775 0 0
  79 0.785 1 0.0892231
  80 0.795 3 0.267669
  81 0.805 0 0
  82 0.815 5 1.42011
  83 0.825 1 0.0892231
  84 0.835 1 1.06322
  85 0.845 1 1.06322
  86 0.855 2 2.12643
  87 0.865 1 1.06322
  88 0.875 1 0.0892231
  89 0.885 1 0.0892231
  90 0.895 5 2.3941
  91 0.905 2 1.15244
