# Chunk-averaged data for fix ave_vx and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 4000
  2 0.075 199.88 -0.246519
  3 0.125 196.48 -0.180318
  4 0.175 198.64 -0.172761
  5 0.225 200.04 -0.050961
  6 0.275 200.64 0.0455261
  7 0.325 193.36 0.0875103
  8 0.375 196.7 0.128597
  9 0.425 196.78 0.146135
  10 0.475 204.58 0.232745
  11 0.525 204.52 0.331884
  12 0.575 203.52 0.23269
  13 0.625 202.72 0.193075
  14 0.675 204.34 0.119911
  15 0.725 199.14 0.0586265
  16 0.775 198.22 0.00967111
  17 0.825 199.86 -0.0932635
  18 0.875 198.24 -0.170344
  19 0.925 201.2 -0.16307
  20 0.975 198.4 -0.203527
20000 20 4000
  1 0.025 206.1 -0.333736
  2 0.075 203.44 -0.252731
  3 0.125 199.72 -0.179603
  4 0.175 198.38 -0.0674497
  5 0.225 198.66 -0.0717618
  6 0.275 198.44 -0.0145472
  7 0.325 200.58 0.0753723
  8 0.375 199.38 0.118406
  9 0.425 201.16 0.160065
  10 0.475 199.02 0.272204
  11 0.525 200.54 0.412282
  12 0.575 200.68 0.249651
  13 0.625 196.44 0.149896
  14 0.675 200.48 0.0946768
  15 0.725 200.14 0.0130059
  16 0.775 198 -0.0403672
  17 0.825 199.42 -0.091197
  18 0.875 196.1 -0.101938
  19 0.925 200.64 -0.137152
  20 0.975 202.68 -0.23992
21000 20 4000
  1 0.025 203.1 -0.390296
  2 0.075 204.4 -0.257966
  3 0.125 200.8 -0.18141
  4 0.175 195.64 -0.137674
  5 0.225 198.72 -0.0527492
  6 0.275 196.46 0.0123802
  7 0.325 197.78 0.0522327
  8 0.375 195.6 0.0926109
  9 0.425 200.04 0.211793
  10 0.475 203.6 0.280249
  11 0.525 200.44 0.337895
  12 0.575 201.1 0.244226
  13 0.625 201.9 0.190292
  14 0.675 199.2 0.176789
  15 0.725 199.74 0.0777104
  16 0.775 202.22 -0.0314984
  17 0.825 202.24 -0.0523047
  18 0.875 199.86 -0.0956018
  19 0.925 197.24 -0.203533
  20 0.975 199.92 -0.271419
22000 20 4000
  1 0.025 205.18 -0.323828
  2 0.075 201.3 -0.243195
  3 0.125 196.44 -0.184923
  4 0.175 198.6 -0.0912562
  5 0.225 200.58 -0.0940901
  6 0.275 195.12 -0.0138293
  7 0.325 197.84 0.0749784
  8 0.375 199.28 0.128455
  9 0.425 201.9 0.149461
  10 0.475 202.42 0.248991
  11 0.525 199.62 0.378987
  12 0.575 197.64 0.285713
  13 0.625 198.44 0.191045
  14 0.675 199.62 0.113491
  15 0.725 197.74 0.0585519
  16 0.775 200.06 0.0110738
  17 0.825 201.58 -0.0665682
  18 0.875 199.04 -0.142293
  19 0.925 202.28 -0.226549
  20 0.975 205.32 -0.236237
23000 20 4000
  1 0.025 202.38 -0.342146
  2 0.075 205.06 -0.253781
  3 0.125 198.62 -0.206308
  4 0.175 198.56 -0.100031
  5 0.225 200.26 -0.0426886
  6 0.275 202.74 -0.0166983
  7 0.325 197.16 0.0236356
  8 0.375 196.36 0.0659389
  9 0.425 199.76 0.154108
  10 0.475 197.46 0.263039
  11 0.525 197.8 0.394638
  12 0.575 197.84 0.281758
  13 0.625 200.02 0.154715
  14 0.675 201.14 0.112471
  15 0.725 201.5 0.0601521
  16 0.775 201.54 0.00318614
  17 0.825 200.72 -0.026733
  18 0.875 200.7 -0.0877282
  19 0.925 200.26 -0.188016
  20 0.975 200.12 -0.228781
24000 20 4000
  1 0.025 197.62 -0.3418
  2 0.075 203.04 -0.248559
  3 0.125 200.94 -0.166265
  4 0.175 202.8 -0.130974
  5 0.225 201.34 -0.018184
  6 0.275 197.48 0.0219256
  7 0.325 200.52 0.0567409
  8 0.375 200.92 0.0333439
  9 0.425 199.36 0.129019
  10 0.475 197.16 0.254574
  11 0.525 198.36 0.359184
  12 0.575 200.3 0.255374
  13 0.625 203.52 0.172318
  14 0.675 198.18 0.0958515
  15 0.725 199.7 0.0806047
  16 0.775 200.02 0.0203602
  17 0.825 199.02 -0.0493921
  18 0.875 199.54 -0.104783
  19 0.925 201.42 -0.186819
  20 0.975 198.76 -0.226107
25000 20 4000
  1 0.025 205.24 -0.377387
  2 0.075 205.04 -0.254942
  3 0.125 197.72 -0.126305
  4 0.175 196.88 -0.0489439
  5 0.225 194.74 -0.0141722
  6 0.275 194.06 0.0354447
  7 0.325 196.02 0.0605152
  8 0.375 197.42 0.108733
  9 0.425 200.2 0.108402
  10 0.475 200.42 0.204485
  11 0.525 198.2 0.318315
  12 0.575 201.68 0.220008
  13 0.625 201.98 0.15482
  14 0.675 202.16 0.111328
  15 0.725 199.26 0.0456707
  16 0.775 204.68 0.0211653
  17 0.825 201.9 -0.043426
  18 0.875 201.06 -0.0558934
  19 0.925 197.18 -0.178374
  20 0.975 204.16 -0.270805
26000 20 4000
  1 0.025 200.26 -0.343109
  2 0.075 196.7 -0.24402
  3 0.125 197.8 -0.214755
  4 0.175 196.52 -0.120699
  5 0.225 196 -0.00811061
  6 0.275 196.88 0.0522452
  7 0.325 197.8 -0.0123086
  8 0.375 200.02 0.0386485
  9 0.425 199.04 0.167474
  10 0.475 200.46 0.26884
  11 0.525 198.62 0.382336
  12 0.575 203.94 0.273734
  13 0.625 199.06 0.196525
  14 0.675 201.28 0.0985955
  15 0.725 203.68 0.0597859
  16 0.775 206.96 0.00169786
  17 0.825 203.58 -0.0527896
  18 0.875 200.84 -0.124478
  19 0.925 199.16 -0.176277
  20 0.975 201.4 -0.251809
27000 20 4000
  1 0.025 199.56 -0.378211
  2 0.075 199.84 -0.23833
  3 0.125 197.38 -0.171268
  4 0.175 196.1 -0.0866675
  5 0.225 199.74 0.00560683
  6 0.275 196.64 -0.00060479
  7 0.325 200.54 0.037982
  8 0.375 197.84 0.0858293
  9 0.425 198.34 0.183562
  10 0.475 202.12 0.259823
  11 0.525 201.16 0.333841
  12 0.575 201.24 0.226156
  13 0.625 204.36 0.145436
  14 0.675 203.22 0.113633
  15 0.725 200.26 0.0428501
  16 0.775 200.58 0.0447091
  17 0.825 199.84 -0.0302409
  18 0.875 196.86 -0.125793
  19 0.925 201.96 -0.169867
  20 0.975 202.42 -0.289172
28000 20 4000
  1 0.025 199 -0.400228
  2 0.075 203.4 -0.268237
  3 0.125 199.16 -0.183095
  4 0.175 198.92 -0.130138
  5 0.225 201.08 -0.067842
  6 0.275 199.02 -0.0210986
  7 0.325 200.68 0.0754044
  8 0.375 199.82 0.163185
  9 0.425 202.34 0.133172
  10 0.475 199.06 0.201601
  11 0.525 201.38 0.299626
  12 0.575 201.2 0.259032
  13 0.625 199.54 0.160473
  14 0.675 197.94 0.100318
  15 0.725 199.98 0.133295
  16 0.775 203.42 0.062992
  17 0.825 200.82 -0.0172688
  18 0.875 198.48 -0.106113
  19 0.925 196.98 -0.152545
  20 0.975 197.78 -0.251011
29000 20 4000
  1 0.025 199.94 -0.337593
  2 0.075 198.18 -0.256024
  3 0.125 199.96 -0.188267
  4 0.175 197.76 -0.043417
  5 0.225 195.54 -0.0328853
  6 0.275 199.12 0.014135
  7 0.325 198.82 0.0389187
  8 0.375 197.02 0.113363
  9 0.425 197.98 0.21249
  10 0.475 200.02 0.301555
  11 0.525 199.24 0.373115
  12 0.575 202.24 0.279452
  13 0.625 197.96 0.149286
  14 0.675 199.52 0.0634829
